method,seed,auc_roc,ap,f1,precision,recall,accuracy,threshold,train_time_sec,score_time_sec,error,dataset,n_rows,n_features,outlier_rate
PCA,69,0.6146609892800784,0.29561727691063905,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,4.0664923821453376e+21,15.316143989562988,14.849899291992188,,17_InternetAds,1966,1555,0.1871820956256358
PCA,72,0.6146609892800784,0.29561727691063905,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,4.0664923821453376e+21,15.168155908584595,14.422654390335083,,17_InternetAds,1966,1555,0.1871820956256358
PCA,888,0.6146609892800784,0.29561727691063905,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,4.0664923821453376e+21,15.320859909057617,14.51232385635376,,17_InternetAds,1966,1555,0.1871820956256358
CBLOF,69,0.6157586589214779,0.2968263766050288,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,46.5562666449639,1.2083535194396973,0.06594300270080566,,17_InternetAds,1966,1555,0.1871820956256358
CBLOF,72,0.6154967826631116,0.29668792239071184,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,46.54541800296197,1.2286486625671387,0.07136273384094238,,17_InternetAds,1966,1555,0.1871820956256358
CBLOF,888,0.6156268705447027,0.29677282600629595,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,46.5472519371056,1.2321605682373047,0.0699915885925293,,17_InternetAds,1966,1555,0.1871820956256358
HBOS,69,0.6962779561408282,0.5253418096079754,0.4701086956521739,0.4701086956521739,0.4701086956521739,0.8016276703967447,518.9189796392814,0.331850528717041,0.04757189750671387,,17_InternetAds,1966,1555,0.1871820956256358
HBOS,72,0.6962779561408282,0.5253418096079754,0.4701086956521739,0.4701086956521739,0.4701086956521739,0.8016276703967447,518.9189796392814,0.31522440910339355,0.04173111915588379,,17_InternetAds,1966,1555,0.1871820956256358
HBOS,888,0.6962779561408282,0.5253418096079754,0.4701086956521739,0.4701086956521739,0.4701086956521739,0.8016276703967447,518.9189796392814,0.31597137451171875,0.03590846061706543,,17_InternetAds,1966,1555,0.1871820956256358
ECOD,69,0.6769611810959352,0.5088561566577561,0.4429347826086957,0.4429347826086957,0.4429347826086957,0.7914547304170906,97.17148032320077,0.41970372200012207,0.9305901527404785,,17_InternetAds,1966,1555,0.1871820956256358
ECOD,72,0.6769611810959352,0.5088561566577561,0.4429347826086957,0.4429347826086957,0.4429347826086957,0.7914547304170906,97.17148032320077,0.4078197479248047,0.8109452724456787,,17_InternetAds,1966,1555,0.1871820956256358
ECOD,888,0.6769611810959352,0.5088561566577561,0.4429347826086957,0.4429347826086957,0.4429347826086957,0.7914547304170906,97.17148032320077,0.3972630500793457,0.8223299980163574,,17_InternetAds,1966,1555,0.1871820956256358
COPOD,69,0.6764017181803341,0.5076891219490428,0.44565217391304346,0.44565217391304346,0.44565217391304346,0.7924720244150559,90.3179925946292,0.4035320281982422,0.8063294887542725,,17_InternetAds,1966,1555,0.1871820956256358
COPOD,72,0.6764017181803341,0.5076891219490428,0.44565217391304346,0.44565217391304346,0.44565217391304346,0.7924720244150559,90.3179925946292,0.37514710426330566,0.834561824798584,,17_InternetAds,1966,1555,0.1871820956256358
